17.31% Epoch [1/2], Step [280/809], Loss: 3.0829, Perplexity: 21.8212
17.37% Epoch [1/2], Step [281/809], Loss: 3.1060, Perplexity: 22.3321
17.43% Epoch [1/2], Step [282/809], Loss: 3.1041, Perplexity: 22.2894
17.49% Epoch [1/2], Step [283/809], Loss: 3.0813, Perplexity: 21.7863
17.55% Epoch [1/2], Step [284/809], Loss: 3.5765, Perplexity: 35.7464
17.61% Epoch [1/2], Step [285/809], Loss: 3.2309, Perplexity: 25.3025
17.68% Epoch [1/2], Step [286/809], Loss: 3.0184, Perplexity: 20.4583
17.74% Epoch [1/2], Step [287/809], Loss: 3.0154, Perplexity: 20.3965
17.80% Epoch [1/2], Step [288/809], Loss: 3.2308, Perplexity: 25.3001
17.86% Epoch [1/2], Step [289/809], Loss: 3.1496, Perplexity: 23.3277
17.92% Epoch [1/2], Step [290/809], Loss: 3.1310, Perplexity: 22.8976
17.99% Epoch [1/2], Step [291/809], Loss: 3.0404, Perplexity: 20.9130
18.05% Epoch [1/2], Step [292/809], Loss: 3.0563, Perplexity: 21.2487
18.11% Epoch [1/2], Step [293/809], Loss: 3.0054, Perplexity: 20.1941
18.17% Epoch [1/2], Step [294/809], Loss: 3.0677, Perplexity: 21.4930
18.23% Epoch [1/2], Step [295/809], Loss: 3.1165, Perplexity: 22.5676
18.29% Epoch [1/2], Step [296/809], Loss: 3.1018, Perplexity: 22.2372
18.36% Epoch [1/2], Step [297/809], Loss: 3.6962, Perplexity: 40.2922
18.42% Epoch [1/2], Step [298/809], Loss: 3.0151, Perplexity: 20.3901
18.48% Epoch [1/2], Step [299/809], Loss: 3.0466, Perplexity: 21.0426
18.54% Epoch [1/2], Step [300/809], Loss: 3.5603, Perplexity: 35.1731
18.60% Epoch [1/2], Step [301/809], Loss: 2.9838, Perplexity: 19.7627
18.67% Epoch [1/2], Step [302/809], Loss: 3.0413, Perplexity: 20.9319
18.73% Epoch [1/2], Step [303/809], Loss: 3.0790, Perplexity: 21.7360
18.79% Epoch [1/2], Step [304/809], Loss: 3.0148, Perplexity: 20.3859
18.85% Epoch [1/2], Step [305/809], Loss: 3.1889, Perplexity: 24.2624
18.91% Epoch [1/2], Step [306/809], Loss: 3.7274, Perplexity: 41.5703
18.97% Epoch [1/2], Step [307/809], Loss: 3.0934, Perplexity: 22.0529
19.04% Epoch [1/2], Step [308/809], Loss: 3.1120, Perplexity: 22.4652
19.10% Epoch [1/2], Step [309/809], Loss: 3.6618, Perplexity: 38.9313
19.16% Epoch [1/2], Step [310/809], Loss: 3.1361, Perplexity: 23.0133
19.22% Epoch [1/2], Step [311/809], Loss: 3.0365, Perplexity: 20.8323
19.28% Epoch [1/2], Step [312/809], Loss: 2.9264, Perplexity: 18.6607
19.34% Epoch [1/2], Step [313/809], Loss: 2.9952, Perplexity: 19.9899
19.41% Epoch [1/2], Step [314/809], Loss: 3.0189, Perplexity: 20.4691
19.47% Epoch [1/2], Step [315/809], Loss: 3.1222, Perplexity: 22.6972
19.53% Epoch [1/2], Step [316/809], Loss: 3.3205, Perplexity: 27.6742
19.59% Epoch [1/2], Step [317/809], Loss: 3.0401, Perplexity: 20.9081
